case_id,asset,strategy,window,roundtrip_cost_bps,environment_proxy,bars,compounded_return_pct,mean_bps_per_bar,positive_bar_pct,sharpe
sol_dual_full_rt4bps,SOL,dual,full,4,sideways_180d_between_plusminus20pct,2060,27.844649845421543,1.2573526184236643,25.19417475728155,1.6302232632528162
sol_dual_full_rt4bps,SOL,dual,full,4,trend_adx_ge_25,9555,549.9925770510155,2.2143629831317018,27.817896389324957,1.4450528142237993
sol_dual_full_rt4bps,SOL,dual,full,4,choppy_adx_lt_20,1251,22.279231308865043,1.8103840010213692,27.89768185451639,1.327417322732087
sol_dual_full_rt4bps,SOL,dual,full,4,high_volatility_rank_ge_90pct,1765,175.8998054557421,6.155815648586263,23.85269121813031,3.179266465816267
sol_dual_full_rt4bps,SOL,dual,full,4,low_volatility_rank_le_30pct,4468,0.1205530003692612,0.1756736463767685,28.939122649955234,0.13963574184375782
btc_dual_full_rt12bps,BTC,dual,full,12,bull_180d_gt_20pct,6635,154.3622492842731,1.5053021348677598,41.3112283345893,1.5894714009658304
btc_dual_full_rt12bps,BTC,dual,full,12,bear_180d_lt_minus20pct,2606,15.394423705932825,0.558968174030461,17.114351496546433,1.8957153512732763
btc_dual_full_rt12bps,BTC,dual,full,12,sideways_180d_between_plusminus20pct,3892,31.805144550283316,0.7330499180860758,26.747173689619736,1.5816225522249894
btc_dual_full_rt12bps,BTC,dual,full,12,trend_adx_ge_25,10785,182.32196346568753,1.0308044567503276,32.814093648586,1.306223775885491
btc_dual_full_rt12bps,BTC,dual,full,12,choppy_adx_lt_20,1511,3.73253340379629,0.2937763395218408,31.30377233620119,0.4288518401742748
btc_dual_full_rt12bps,BTC,dual,full,12,high_volatility_rank_ge_90pct,1771,5.108254220102948,0.42454728279392445,25.40937323546019,0.37274074422880416
btc_dual_full_rt12bps,BTC,dual,full,12,low_volatility_rank_le_30pct,5195,84.36480152425881,1.2234477883207162,36.496631376323386,1.8888763677888802
