case_id,asset,strategy,window,roundtrip_cost_bps,module,trades,pnl,win_rate_pct,profit_factor,avg_win_loss_ratio,max_consecutive_losses,avg_trade_pct
btc_dual_full_rt4bps,BTC,dual,full,4,core_add_long,1,-1221.7950487414198,0.0,0.0,,1,-5.032883791198431
btc_dual_full_rt4bps,BTC,dual,full,4,core_long,135,299764.9927517085,60.74074074074074,2.579498231674984,1.6672366619362702,3,2.589866356261971
btc_dual_full_rt4bps,BTC,dual,full,4,crash_short,11,2402.0557700131008,36.36363636363637,1.8437416345963553,3.2265478605436217,3,0.4147452253740182
btc_dual_full_rt4bps,BTC,dual,full,4,dip_buy_long,4,2203.711269544358,50.0,7.467240226280345,7.467240226280345,2,2.0312680824597606
btc_dual_full_rt4bps,BTC,dual,full,4,meanrev_range_long,1,-1088.1216544017666,0.0,0.0,,1,-1.0937150887054343
btc_dual_full_rt4bps,BTC,dual,full,4,pullback_struct_long,116,12809.653929559287,39.6551724137931,1.1618352329390265,1.7680101370811272,6,0.26397243683075916
btc_dual_full_rt4bps,BTC,dual,full,4,sweep_reversal_long,34,-3451.8706913412043,26.47058823529412,0.8468147549753329,2.3522632082648136,6,-0.002444716322651086
btc_dual_full_rt4bps,BTC,dual,full,4,sweep_reversal_short,11,8125.9106073256435,63.63636363636363,8.887781413179026,5.0787322361023,2,2.012798363062919
eth_dual_full_rt4bps,ETH,dual,full,4,bear_core,31,21571.866737999393,54.83870967741935,1.5513483368522565,1.2775809832900935,2,1.003463048670743
eth_dual_full_rt4bps,ETH,dual,full,4,breakout_retest_long,1,2329.3976351796014,100.0,,,0,2.9742761165328737
eth_dual_full_rt4bps,ETH,dual,full,4,core_add_long,1,1285.9486878028367,100.0,,,0,4.924133391455967
eth_dual_full_rt4bps,ETH,dual,full,4,core_long,155,356025.44113156176,50.32258064516129,1.5879555676379666,1.5675971629246594,5,2.705522001074198
eth_dual_full_rt4bps,ETH,dual,full,4,crash_short,21,-506.0228744701639,38.095238095238095,0.9636399848736792,1.5659149754197288,4,-1.4050476467637363
eth_dual_full_rt4bps,ETH,dual,full,4,dip_buy_long,7,4621.2692846184,71.42857142857143,4.459959654697521,1.7839838618790083,2,2.2976143866765115
eth_dual_full_rt4bps,ETH,dual,full,4,pullback_struct_long,70,32714.38051470943,42.857142857142854,1.5219373189349688,2.0292497585799585,6,0.29191307980809916
eth_dual_full_rt4bps,ETH,dual,full,4,sweep_reversal_long,23,1761.5738421857245,34.78260869565217,1.1211951611178648,2.1022409270959965,6,0.8476990781282564
eth_dual_full_rt4bps,ETH,dual,full,4,sweep_reversal_short,5,-726.0139097572862,20.0,0.5678781193662803,2.271512477465121,4,0.357726740630633
sol_dual_full_rt4bps,SOL,dual,full,4,bear_core,15,58146.82690868515,73.33333333333333,1.9036092453059514,0.6922215437476187,1,3.5460543046570376
sol_dual_full_rt4bps,SOL,dual,full,4,breakout_retest_long,1,-4313.718706044641,0.0,0.0,,1,-4.672288656625112
sol_dual_full_rt4bps,SOL,dual,full,4,bull_trap_short,2,1168.1092080262636,50.0,1.9649672723739986,1.9649672723739986,1,2.33001422829188
sol_dual_full_rt4bps,SOL,dual,full,4,core_add_long,1,-5328.5573917459005,0.0,0.0,,1,-23.687213792169075
sol_dual_full_rt4bps,SOL,dual,full,4,core_long,120,589550.3321841825,44.166666666666664,1.513828145715986,1.9137072785466238,6,5.153767621485527
sol_dual_full_rt4bps,SOL,dual,full,4,crash_short,18,13459.25770202823,61.111111111111114,2.1459124963627283,1.3655806795035543,2,3.1455232756433715
sol_dual_full_rt4bps,SOL,dual,full,4,dip_buy_long,7,22109.13610973124,85.71428571428571,9.482783851368168,1.5804639752280283,1,4.989902246510496
sol_dual_full_rt4bps,SOL,dual,full,4,pullback_struct_long,44,44314.31842226998,52.27272727272727,1.6884646671330685,1.5416416525997583,4,2.1754738289963016
sol_dual_full_rt4bps,SOL,dual,full,4,sweep_reversal_long,20,-15664.63970078902,20.0,0.45279213817458464,1.8111685526983385,7,1.947066506632074
sol_dual_full_rt4bps,SOL,dual,full,4,sweep_reversal_short,11,-5068.37924546248,9.090909090909092,0.25864386421774144,2.586438642177414,8,-1.8766943453073621
btc_dual_full_rt12bps,BTC,dual,full,12,bear_core,29,11473.13347984751,58.620689655172406,1.4720973233770167,1.0391275223837766,3,2.045518731085762
btc_dual_full_rt12bps,BTC,dual,full,12,breakout_retest_long,5,675.130283161744,40.0,1.117685927133814,1.676528890700721,2,0.5869098571657683
btc_dual_full_rt12bps,BTC,dual,full,12,bull_trap_short,2,-1082.3892259237755,0.0,0.0,,2,-0.6779969030934652
btc_dual_full_rt12bps,BTC,dual,full,12,core_add_long,1,-1236.7516491579697,0.0,0.0,,1,-5.110886238171346
btc_dual_full_rt12bps,BTC,dual,full,12,core_long,135,271227.4149561435,59.25925925925925,2.443898084046735,1.6801799327821298,4,2.4765318164896497
btc_dual_full_rt12bps,BTC,dual,full,12,crash_short,11,2001.632834049543,36.36363636363637,1.6950560825950132,2.9663481445412727,3,0.33492708709182456
btc_dual_full_rt12bps,BTC,dual,full,12,dip_buy_long,4,2049.9011779722205,50.0,6.723614836319758,6.723614836319758,2,1.9504394094921838
btc_dual_full_rt12bps,BTC,dual,full,12,meanrev_range_long,1,-1072.699903745766,0.0,0.0,,1,-1.1732935183558824
btc_dual_full_rt12bps,BTC,dual,full,12,pullback_struct_long,116,8125.698455995494,37.93103448275862,1.104259662917875,1.8069703575019775,6,0.18385082353336732
btc_dual_full_rt12bps,BTC,dual,full,12,sweep_reversal_long,34,-5586.637866723393,26.47058823529412,0.7571616159899353,2.1032267110831535,6,-0.08245974144114587
btc_dual_full_rt12bps,BTC,dual,full,12,sweep_reversal_short,11,7138.642895089521,63.63636363636363,7.115704307729239,4.066116747273851,2,1.9336193182171129
eth_dual_full_rt12bps,ETH,dual,full,12,bear_core,31,18965.29279613775,54.83870967741935,1.4986021958206626,1.2341429847934868,2,0.923880350429859
eth_dual_full_rt12bps,ETH,dual,full,12,breakout_retest_long,1,2150.0318785730738,100.0,,,0,2.8930701648959336
eth_dual_full_rt12bps,ETH,dual,full,12,core_add_long,1,1254.8105867073032,100.0,,,0,4.842147340889271
eth_dual_full_rt12bps,ETH,dual,full,12,core_long,155,332170.76366040227,50.32258064516129,1.562272448280349,1.5422433143280367,5,2.624423572588071
eth_dual_full_rt12bps,ETH,dual,full,12,crash_short,21,-976.8498060951849,38.095238095238095,0.9276242587467052,1.5073894204633957,4,-1.4855935566404666
eth_dual_full_rt12bps,ETH,dual,full,12,dip_buy_long,7,4395.328654342128,71.42857142857143,4.267094242415859,1.7068376969663437,2,2.216679153875282
eth_dual_full_rt12bps,ETH,dual,full,12,pullback_struct_long,70,28479.855429371346,42.857142857142854,1.4630719532212786,1.9507626042950381,6,0.2117802880178177
eth_dual_full_rt12bps,ETH,dual,full,12,sweep_reversal_long,23,3.8286460739150243,34.78260869565217,1.0002508767584082,1.8754703939220156,6,0.7673439274668725
