case_id,asset,strategy,window,roundtrip_cost_bps,environment,bars,compounded_return_pct,mean_bps_per_bar,positive_bar_pct,sharpe
eth_dual_full_rt4bps,ETH,dual,full,4,high_risk,1964,-59.82077725344224,-4.323386791252985,29.582484725050918,-2.544669343289528
eth_dual_full_rt4bps,ETH,dual,full,4,trend,1578,19.632039044078397,1.2440469866265829,37.832699619771866,1.2517097879584798
eth_dual_full_rt4bps,ETH,dual,full,4,nontrend,10671,979.8997816205682,2.332968090795045,38.365663949020714,2.4045744458479446
eth_dual_full_rt4bps,ETH,dual,full,4,high_volatility,1964,-59.82077725344224,-4.323386791252985,29.582484725050918,-2.544669343289528
eth_dual_full_rt4bps,ETH,dual,full,4,low_volatility,5137,286.5315296809886,2.6911044645340785,41.15242359353709,3.6676988548791174
sol_dual_full_rt4bps,SOL,dual,full,4,ranging,8917,898.1502027431301,2.7861251564563685,28.84378154087698,2.026966762938404
sol_dual_full_rt4bps,SOL,dual,full,4,bull,696,12.641605623042484,2.219635524826179,46.839080459770116,1.0278702326864115
sol_dual_full_rt4bps,SOL,dual,full,4,bear,790,-3.731613097366915,-0.4701981344393321,14.556962025316455,-1.4750955210792789
sol_dual_full_rt4bps,SOL,dual,full,4,compression,492,1.145737215012388,0.33002257272244295,27.64227642276423,0.34705498264704876
sol_dual_full_rt4bps,SOL,dual,full,4,high_risk,1764,-27.07445901595338,-1.273458092632413,22.33560090702948,-0.5839606593334247
sol_dual_full_rt4bps,SOL,dual,full,4,trend,1486,8.43825671452838,0.789643202605618,29.676985195154774,0.5279252918715163
sol_dual_full_rt4bps,SOL,dual,full,4,nontrend,9409,909.5863810776788,2.657694667435529,28.780954405356574,1.960421169539904
sol_dual_full_rt4bps,SOL,dual,full,4,high_volatility,1764,-27.07445901595338,-1.273458092632413,22.33560090702948,-0.5839606593334247
sol_dual_full_rt4bps,SOL,dual,full,4,low_volatility,4469,225.931664600697,2.7644442649358827,30.096218393376596,2.632128493459078
btc_dual_full_rt12bps,BTC,dual,full,12,ranging,10290,449.05307866458753,1.7048001845158476,34.21768707482993,2.527825824271625
btc_dual_full_rt12bps,BTC,dual,full,12,bull,995,18.59572219046999,1.7830846789065475,45.82914572864322,2.2454571971813615
btc_dual_full_rt12bps,BTC,dual,full,12,bear,529,-2.8146897262700477,-0.5223238292780057,15.122873345935728,-1.3106192107047685
btc_dual_full_rt12bps,BTC,dual,full,12,compression,626,8.51439759574939,1.3211882720905581,34.185303514377,3.4751017556909556
btc_dual_full_rt12bps,BTC,dual,full,12,high_risk,1773,-42.66649492558264,-2.94394647451557,25.606316976875355,-2.22658656284526
btc_dual_full_rt12bps,BTC,dual,full,12,trend,1524,15.257620582179122,0.9828477361049539,35.170603674540686,1.4379791242980862
btc_dual_full_rt12bps,BTC,dual,full,12,nontrend,10916,495.8016407937925,1.6828011869729533,34.215829974349575,2.545529167430008
btc_dual_full_rt12bps,BTC,dual,full,12,high_volatility,1770,-42.86601109520271,-2.9686603418984543,25.536723163841806,-2.243587000020905
btc_dual_full_rt12bps,BTC,dual,full,12,low_volatility,5195,103.65031546768608,1.3966895073674181,36.66987487969201,2.783867531543937
eth_dual_full_rt12bps,ETH,dual,full,12,ranging,10124,926.1223402755907,2.4067174902017174,38.1568549980245,2.4370024958456495
eth_dual_full_rt12bps,ETH,dual,full,12,bull,960,14.40065418175902,1.5685114041688712,46.875,1.2692302649867115
eth_dual_full_rt12bps,ETH,dual,full,12,bear,618,4.359850125411069,0.7069111291811492,23.624595469255663,1.8267918179813258
eth_dual_full_rt12bps,ETH,dual,full,12,compression,547,-0.9664020555207986,-0.14414992222588544,40.40219378427788,-0.26082944089275417
eth_dual_full_rt12bps,ETH,dual,full,12,high_risk,1964,-59.97874399541647,-4.343526319209719,29.582484725050918,-2.5568885832889916
eth_dual_full_rt12bps,ETH,dual,full,12,trend,1578,19.388351246573478,1.231078596854288,37.76932826362484,1.2389203014728916
eth_dual_full_rt12bps,ETH,dual,full,12,nontrend,10671,916.2058728870095,2.275958941368627,38.27195201949208,2.3461311199310186
eth_dual_full_rt12bps,ETH,dual,full,12,high_volatility,1964,-59.97874399541647,-4.343526319209719,29.582484725050918,-2.5568885832889916
eth_dual_full_rt12bps,ETH,dual,full,12,low_volatility,5137,280.38828387046715,2.6598566748496317,41.07455713451431,3.626741227613432
sol_dual_full_rt12bps,SOL,dual,full,12,ranging,8917,855.4944966743069,2.737013492041096,28.78770887069642,1.9918327572809986
sol_dual_full_rt12bps,SOL,dual,full,12,bull,696,12.623908899803915,2.217157076196473,46.839080459770116,1.026945088490062
sol_dual_full_rt12bps,SOL,dual,full,12,bear,790,-3.780109792730846,-0.476565946932613,14.556962025316455,-1.4943813023726722
sol_dual_full_rt12bps,SOL,dual,full,12,compression,492,1.0595937397904764,0.3126764805658211,27.64227642276423,0.3288601859749025
sol_dual_full_rt12bps,SOL,dual,full,12,high_risk,1764,-27.338860701612166,-1.294239074960834,22.27891156462585,-0.5936029227384291
sol_dual_full_rt12bps,SOL,dual,full,12,trend,1486,8.366601490526548,0.7850970571709159,29.676985195154774,0.5249907686298162
sol_dual_full_rt12bps,SOL,dual,full,12,nontrend,9409,865.6188565451165,2.6102440362385844,28.72781379530237,1.9259898029920675
sol_dual_full_rt12bps,SOL,dual,full,12,high_volatility,1764,-27.338860701612166,-1.294239074960834,22.27891156462585,-0.5936029227384291
sol_dual_full_rt12bps,SOL,dual,full,12,low_volatility,4469,221.6477623947931,2.734721261133987,30.006712911165813,2.6050303600152462
btc_dual_full_rt20bps,BTC,dual,full,20,ranging,10290,413.2238709167773,1.6392065916718863,34.01360544217687,2.430617651825225
btc_dual_full_rt20bps,BTC,dual,full,20,bull,995,18.474441694697763,1.7728062888631637,45.82914572864322,2.232416066138388
btc_dual_full_rt20bps,BTC,dual,full,20,bear,529,-2.8277212401122798,-0.5248678775281098,15.122873345935728,-1.317353270860162
btc_dual_full_rt20bps,BTC,dual,full,20,compression,626,8.423209298110311,1.307736081393751,34.185303514377,3.4420068105926225
btc_dual_full_rt20bps,BTC,dual,full,20,high_risk,1773,-42.98271375821546,-2.975146717566243,25.606316976875355,-2.25027695801639
btc_dual_full_rt20bps,BTC,dual,full,20,trend,1524,15.124314742792011,0.975254035568555,35.170603674540686,1.4268644793697376
btc_dual_full_rt20bps,BTC,dual,full,20,nontrend,10916,456.4537917319595,1.6201977478248626,34.02345181385123,2.4509154679845166
btc_dual_full_rt20bps,BTC,dual,full,20,high_volatility,1770,-43.18106161964462,-2.9999066959849405,25.536723163841806,-2.267295514042553
btc_dual_full_rt20bps,BTC,dual,full,20,low_volatility,5195,100.35488912642955,1.3652677636424773,36.6121270452358,2.7219323269024134
eth_dual_full_rt20bps,ETH,dual,full,20,ranging,10124,867.4514128543263,2.3485382024740606,38.05807981035164,2.3782127647243265
eth_dual_full_rt20bps,ETH,dual,full,20,bull,960,14.232182943656158,1.553110166949253,46.875,1.2569468752179092
eth_dual_full_rt20bps,ETH,dual,full,20,bear,618,4.300938567463164,0.6977500773269464,23.624595469255663,1.8044226666126737
eth_dual_full_rt20bps,ETH,dual,full,20,compression,547,-1.1529096079892942,-0.1786588773649665,40.40219378427788,-0.3235058032337318
eth_dual_full_rt20bps,ETH,dual,full,20,high_risk,1964,-60.1360142543385,-4.363651751579004,29.582484725050918,-2.5690852074871313
eth_dual_full_rt20bps,ETH,dual,full,20,trend,1578,19.145238956334975,1.2181212345116197,37.76932826362484,1.2260981385070868
eth_dual_full_rt20bps,ETH,dual,full,20,nontrend,10671,856.2975725628881,2.2189930049600557,38.17824008996345,2.287554679394273
eth_dual_full_rt20bps,ETH,dual,full,20,high_volatility,1964,-60.1360142543385,-4.363651751579004,29.582484725050918,-2.5690852074871313
eth_dual_full_rt20bps,ETH,dual,full,20,low_volatility,5137,274.3458991262229,2.6286331040301323,40.99669067549153,3.5855560848051042
sol_dual_full_rt20bps,SOL,dual,full,20,ranging,8917,814.6815598368528,2.6879391571102174,28.720421666479755,1.9566448389258686
sol_dual_full_rt20bps,SOL,dual,full,20,bull,696,12.606226047188951,2.2146802846927183,46.839080459770116,1.0260201161864317
sol_dual_full_rt20bps,SOL,dual,full,20,bear,790,-3.828557109415609,-0.48292857346079776,14.556962025316455,-1.513505067688001
sol_dual_full_rt20bps,SOL,dual,full,20,compression,492,0.9735731398041736,0.2953441504049586,27.64227642276423,0.3106688055427323
sol_dual_full_rt20bps,SOL,dual,full,20,high_risk,1764,-27.602184100667237,-1.3150063580593618,22.27891156462585,-0.6032401133825603
sol_dual_full_rt20bps,SOL,dual,full,20,trend,1486,8.29503237421454,0.7805544448937428,29.676985195154774,0.5220562655203291
sol_dual_full_rt20bps,SOL,dual,full,20,nontrend,9409,823.5866538181708,2.5628295021735616,28.664045063237324,1.8915071728324133
sol_dual_full_rt20bps,SOL,dual,full,20,high_volatility,1764,-27.602184100667237,-1.3150063580593618,22.27891156462585,-0.6032401133825603
sol_dual_full_rt20bps,SOL,dual,full,20,low_volatility,4469,217.42235037130442,2.705021277792228,29.98433654061311,2.5778487465662296
